Organism,Assembly_accession,label,protein_kofam
Candidatus Aquicultor primus,GCA_001767575.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCA_001767575.1.faa
Candidatus Avedoeria,GCA_016703025.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCA_016703025.1.faa
Candidatus Lithacetigena glycinireducens,GCA_018725505.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCA_018725505.1.faa
Aquifex aeolicus,GCF_000008625.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000008625.1.faa
Alcanivorax borkumensis SK2,GCF_000009365.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000009365.1.faa
Rhodococcus erythropolis PR4,GCF_000010105.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000010105.1.faa
Rhodococcus opacus B4,GCF_000010805.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000010805.1.faa
Mycobacterium vanbaalenii PYR‐1,GCF_000015305.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000015305.1.faa
Polaromonas naphthalenivorans CJ2,GCF_000015505.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000015505.1.faa
Geobacillus thermodenitrificans NG80-2,GCF_000015745.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000015745.1.faa
Sphingomonas wittichii RW1,GCF_000016765.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000016765.1.faa
Elusimicrobium minutum,GCF_000020145.1,0,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000020145.1.faa
Arthrobacter chlorophenolicus A6,GCF_000022025.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000022025.1.faa
Burkholderia sp. Ch1‐1,GCF_000178415.2,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000178415.2.faa
Mycobacterium sp. Spyr1,GCF_000184435.1,1,C:\Users\USUARIO\Desktop\TFM VARIOS\genomas_entrenamiento\proteinas_kofam\GCF_000184435.1.faa
